Name,"Sub Category","Plan","AUM","CAGR 3Y","Expense Ratio","Volatility","Sharpe Ratio","Alpha","Sortino Ratio","Tracking Error","Time since inception","SEBI Risk Category","NAV"
Baroda BNP Paribas Large Cap Fund,"Large Cap Fund","Growth","2542.8768","20.19815241322607","0.78","15.696713378284004","0.2571670274354782","1.21","0.0243","2.5954820361543636","149","Very High","251.8618"
Edelweiss Flexi Cap Fund,"Flexi Cap Fund","Growth","2542.3006","22.964708765728226","0.45","18.04614054250936","0.35558897620708096","2.64","0.0339","2.8224874986437056","124","Very High","42.791"
Tata Large Cap Fund,"Large Cap Fund","Growth","2538.9814815187","18.521027614279582","1.02","16.309469381926565","0.24605487192900694","1.18","0.0234","2.5018224397426767","149","Very High","569.179"
ICICI Pru Constant Maturity Gilt Fund,"Gilt - Long Term Fund","Growth","2530.8559600739","9.458748124089556","0.23","2.200206790281314","3.782895224560152","0.38","0.4291","0.5143340548709564","129","Moderate","25.5507"
Quant Large Cap Fund,"Large Cap Fund","Growth","2520.0424","0","0.41","17.403222973920666","-0.17620703731690174","-1.59","-0.0174","6.433938038246872","34","Very High","15.2743"
Canara Rob Focused Equity Fund,"Focused Fund","Growth","2508.9734","22.396904926757944","0.5","16.239621547314457","0.7207026571339945","4.8500000000000005","0.0691","4.036887350422353","49","Very High","20.72"
Mahindra Manulife Large & Mid Cap Fund,"Large & Mid Cap Fund","Growth","2505.9927","20.81066618553704","0.45","19.697089360613663","0.05397332674571765","0.5599999999999999","0.0048","4.75282765519643","66","Very High","29.1396"
Bandhan Multi Cap Fund,"Multi Cap Fund","Growth","2500.285","23.35221350666199","0.55","16.05071490370445","0.43337406475238","3.82","0.0417","3.578114073083752","42","Very High","17.793"
UTI Focused Fund,"Focused Fund","Growth","2497.468","19.921481672461617","0.68","15.239527551732042","0.35558897620708096","2.22","0.0362","5.281448767147136","46","Very High","16.2053"
DSP Focused Fund,"Focused Fund","Growth","2447.3464000000004","22.709289556514477","0.99","17.071445759513164","0.6429175685886955","4.44","0.0629","4.275004968418165","149","Very High","60.71"
Aditya Birla SL Quant Fund,"Thematic Fund","Growth","2446.7901","0","0.52","16.025315691118227","-0.7080030508408844","-1.59","-0.0687","5.07190526331082","12","Very High","9.28"
Nippon India Index Fund-Nifty 50 Plan,"Index Fund","Growth","2442.8734","15.977135271978105","0.07","15.558605159846431","0.439723867898935","1.4200000000000002","0.0442","0.05397332674571765","149","Very High","45.1333"
Edelweiss US Technology Equity FOF,"FoFs (Overseas)","Growth","2428.7875","25.918974520375926","1.48","31.63789417771038","0.6286305115089468","0","0.0599","0","63","Very High","28.0497"
ICICI Pru Housing Opp Fund,"Thematic Fund","Growth","2428.7406310854","22.041768758671566","0.99","16.2332717441679","0.3524140746338035","3.3099999999999996","0.0331","5.508454229636477","38","Very High","17.65"
Nippon India Innovation Fund,"Thematic Fund","Growth","2416.1293","0","0.65","15.980867069092339","0.25557957664883946","1.69","0.0251","6.7546030971479","22","Very High","14.0062"
HDFC Infrastructure Fund,"Sectoral Fund - Infrastructure","Growth","2392.4956","35.61351690406449","1.04","19.963781092768976","0.21113095462295434","5.319999999999999","0.0191","10.123173666395338","149","Very High","52.378"
Nippon India Consumption Fund,"Sectoral Fund - Consumption","Growth","2380.775","22.78180129154599","0.58","14.407703339533334","0.26351683058203323","1.1400000000000001","0.0291","4.522647291133811","149","Very High","218.4093"
HSBC Arbitrage Fund,"Arbitrage Fund","Growth","2340.7494","7.25919033950051","0.24","1.0191434050220802","3.3209470456482744","0.63","0.4699","0.9731073322095565","132","Low","20.1877"
BHARAT Bond ETF FOF - April 2033,"FoFs (Domestic) - Debt Oriented","Growth","2338.4823","0","0.09","3.0145690438269948","2.376413827598215","0","0.2579","0","30","Moderate","12.5631"
Templeton India Equity Income Fund,"Dividend Yield Fund","Growth","2338.164302315","20.346489903631504","1.25","15.749099254243083","0.1523952755173204","1.3","0.0141","5.6402126449274945","149","Very High","150.7719"
Aditya Birla SL Medium Term Plan,"Medium Duration Fund","Growth","2337.5052","15.69199825842662","0.85","3.133627852824901","3.5130285908315635","0","0.9256","0","149","Moderately High","43.2868"
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index Fund,"Flexi Cap Fund","Growth","2330.7224","7.869276150081239","0.2","0.7080030508408844","7.256237545725747","0","1.0167","0","44","Moderately Low","12.4642"
Axis Business Cycles Fund,"Thematic Fund","Growth","2329.9992","0","0.68","17.544506093931513","0.3540015254204422","2.91","0.0331","3.4114317404866834","28","Very High","16.71"
